date,date1,price
 98/01/05, 98/01/05,34.2
 98/01/06, 98/01/06,34.18
 98/01/07, 98/01/07,34.63
 98/01/08, 98/01/08,32.43
 98/01/09, 98/01/09,32.22
 98/01/10, 98/01/10,32.01
 98/01/12, 98/01/12,31.96
 98/01/13, 98/01/13,32.66
 98/01/14, 98/01/14,32.5
 98/01/15, 98/01/15,31
 98/01/16, 98/01/16,31.38
 98/01/17, 98/01/17,31.4
 98/01/19, 98/01/19,31.53
 98/01/20, 98/01/20,30.7
 98/01/21, 98/01/21,30.5
 98/02/02, 98/02/02,30.88
 98/02/03, 98/02/03,31.47
 98/02/04, 98/02/04,31.69
 98/02/05, 98/02/05,31.43
 98/02/06, 98/02/06,32.2
 98/02/09, 98/02/09,32.5
 98/02/10, 98/02/10,32.7
 98/02/11, 98/02/11,33.25
 98/02/12, 98/02/12,32.35
 98/02/13, 98/02/13,33.28
 98/02/16, 98/02/16,33.21
 98/02/17, 98/02/17,32.44
 98/02/18, 98/02/18,32.49
 98/02/19, 98/02/19,32.92
 98/02/20, 98/02/20,32.1
 98/02/23, 98/02/23,32.44
 98/02/24, 98/02/24,32.16
 98/02/25, 98/02/25,32.74
 98/02/26, 98/02/26,32.8
 98/02/27, 98/02/27,33.05
 98/03/02, 98/03/02,31.93
 98/03/03, 98/03/03,31.95
 98/03/04, 98/03/04,32.75
 98/03/05, 98/03/05,33.45
 98/03/06, 98/03/06,33.67
 98/03/09, 98/03/09,33.32
 98/03/10, 98/03/10,33.48
 98/03/11, 98/03/11,34.25
 98/03/12, 98/03/12,34.05
 98/03/13, 98/03/13,35
 98/03/16, 98/03/16,35.53
 98/03/17, 98/03/17,36.17
 98/03/18, 98/03/18,36.1
 98/03/19, 98/03/19,35.9
 98/03/20, 98/03/20,35.42
 98/03/23, 98/03/23,36.57
 98/03/24, 98/03/24,37.45
 98/03/25, 98/03/25,37.82
 98/03/26, 98/03/26,38.1
 98/03/27, 98/03/27,37.77
 98/03/30, 98/03/30,36.29
 98/03/31, 98/03/31,36.64
 98/04/01, 98/04/01,37.29
 98/04/02, 98/04/02,38.58
 98/04/03, 98/04/03,38.6
 98/04/06, 98/04/06,38.79
 98/04/07, 98/04/07,38.8
 98/04/08, 98/04/08,37.73
 98/04/09, 98/04/09,39.28
 98/04/10, 98/04/10,39.97
 98/04/13, 98/04/13,40.18
 98/04/14, 98/04/14,40.5
 98/04/15, 98/04/15,40.25
 98/04/16, 98/04/16,41.2
 98/04/17, 98/04/17,39.88
 98/04/20, 98/04/20,40.17
 98/04/21, 98/04/21,40.78
 98/04/22, 98/04/22,40.65
 98/04/23, 98/04/23,40.46
 98/04/24, 98/04/24,40.5
 98/04/27, 98/04/27,39.52
 98/04/28, 98/04/28,39.05
 98/04/29, 98/04/29,39.4
 98/04/30, 98/04/30,42.15
 98/05/04, 98/05/04,45.1
 98/05/05, 98/05/05,46.3
 98/05/06, 98/05/06,46.4
 98/05/07, 98/05/07,46.3
 98/05/08, 98/05/08,45.83
 98/05/11, 98/05/11,46.2
 98/05/12, 98/05/12,44.6
 98/05/13, 98/05/13,44.67
 98/05/14, 98/05/14,43.65
 98/05/15, 98/05/15,44.8
 98/05/18, 98/05/18,45.06
 98/05/19, 98/05/19,46.1
 98/05/20, 98/05/20,46.3
 98/05/21, 98/05/21,45.95
 98/05/22, 98/05/22,45.78
 98/05/25, 98/05/25,45.73
 98/05/26, 98/05/26,45.6
 98/05/27, 98/05/27,48
 98/06/01, 98/06/01,47.72
 98/06/02, 98/06/02,47.85
 98/06/03, 98/06/03,47.79
 98/06/04, 98/06/04,46.7
 98/06/05, 98/06/05,46.62
 98/06/06, 98/06/06,46.9
 98/06/08, 98/06/08,45.71
 98/06/09, 98/06/09,44.45
 98/06/10, 98/06/10,44.85
 98/06/11, 98/06/11,45.25
 98/06/12, 98/06/12,44.66
 98/06/15, 98/06/15,43.04
 98/06/16, 98/06/16,43.05
 98/06/17, 98/06/17,42.97
 98/06/18, 98/06/18,42.75
 98/06/19, 98/06/19,43.25
 98/06/22, 98/06/22,43.9
